"title","type","release_date","mcu_phase","timeline_start","timeline_end","note"
"Cloak & Dagger (Season 1)","Series","2018-06-07",NULL,2017,2017,"(Feb) 2017"
"Agents of S.H.I.E.L.D. (Season 4, Ep 1-9)","Series","2016-09-20","Phase 3",2017,2017,"(Apr) 2017"
"Slingshot","One-Shot","2016-12-13","Phase 3",2017,2017,"(Apr) 2017"
"Agents of S.H.I.E.L.D. (Season 4, Ep 10-22)","Series","2017-01-01","Phase 3",2017,2017,"(May-June) 2017"
"Jessica Jones (Season 2)","Series","2018-03-08",NULL,2017,2017,"(June) 2017"
"Luke Cage (Season 2)","Series","2018-06-22",NULL,2017,2017,"(July) 2017"
"Iron Fist (Season 2)","Series","2018-09-07",NULL,2017,2017,"(Sep) 2017"
"Cloak & Dagger (Season 2)","Series","2019-04-04",NULL,2017,2017,"(Oct) 2017"
"The Punisher (Season 2)","Series","2019-01-18",NULL,2017,2017,"(Oct-Nov) 2017"
"Thor: Ragnarok","Movie","2017-11-03","Phase 3",2017,2017,"(Nov) 2017/post-Ult., pre-Inf. War"
"Runaways (Season 1 - 3)","Series","2017-11-21",NULL,2017,2018,"(Dec) 2017 - (Aug) 2018"
"Jessica Jones (Season 3)","Series","2019-06-14",NULL,2018,2018,"(Mar) 2018"
"Agents of S.H.I.E.L.D. (Season 5 - 7 (Ep 1-9))","Series","2017-12-02","Phase 3/4",2019,2020,"2019-2020"
"Helstrom (Season 1)","Series","2020-10-16",NULL,2020,2020,"(Year) 2020"
"Avengers: Infinity War","Movie","2018-04-27","Phase 3",2017,2018,"occurs in later 2017/2018"
"Ant-Man and The Wasp","Movie","2018-07-06","Phase 3",2017,2018,"mid-to-late 2017/ambiguous, nicely between Inf. War and EG"
"Avengers: Endgame","Movie","2019-04-26","Phase 3",2017,2023,"starts 2017/18, jumps to 2023"
"Loki (Season 1)","Series","2021-06-09","Phase 4",2023,2023,"best after Endgame"
"Loki (Season 2)","Series","2023-10-06","Phase 5",2023,2023,"watch immediately after S1; continues multiverse chaos"
"What If...? (Season 1)","Series","2021-08-11","Phase 4",2012,2023,"spans entire multiverse; best after Endgame"
"What If...? (Season 2)","Series","2023-12-22","Phase 5",2012,2023,"spans entire multiverse; best after season 1"
"WandaVision (Season 1)","Series","2021-01-15","Phase 4",2023,2023,"3 weeks after Endgame"
"Agatha All Along","Series","2024-09-18","Phase 5",2024,2025,"after WandaVision"
"Eternals","Movie","2021-11-05","Phase 4",2023,2023,"(Nov-Dec) 2023/shortly after WandaVision, months before Shang-Chi"
"The Falcon and the Winter Soldier (Season 1)","Series","2021-03-19","Phase 4",2024,2024,"(~6 months after Endgame)"
"Shang-Chi and the Legend of the Ten Rings","Movie","2021-09-03","Phase 4",2024,2024,"(~after The Falcon)"
"Spider-Man: Far From Home","Movie","2019-07-02","Phase 3",2024,2024,"(June) 2024/8 months after Endgame"
"Spider-Man: No Way Home","Movie","2021-12-17","Phase 4",2024,2024,"(June-Dec) 2024/first 10 min right after Far From Home"
"Venom: Let There Be Carnage","Movie","2021-10-01","non-MCU adaptation",2024,2024,"parallel to No Way Home; sets up Morbius"
"Morbius","Movie","2022-04-01","non-MCU adaptation",2024,2024,"after Venom and No Way Home"
"Deadpool & Wolverine (Deadpool 3)","Movie","2024-07-26","Phase 5",2024,2024,"main story in 2024"
"Doctor Strange in the Multiverse of Madness","Movie","2022-05-06","Phase 4",2024,2025,"(Nov) 2024 into 2025/picks up after WandaVision"
"Hawkeye (Season 1)","Series","2021-11-24","Phase 4",2024,2024,"(Dec) 2024/1 year after Endgame"
"Werewolf by Night","Movie","2022-10-07","Phase 4",2024,2024,"short standalone introducing MCU's supernatural side"
"Daredevil: Born Again","Series","2025-03-04","Phase 5",2025,2025,"post-No Way Home; street-level MCU focus"
"Echo (Season 1)","Series","2024-01-10","Phase 5",2025,2025,"post-Hawkeye; street-level NYC focus"
"Moon Knight (Season 1)","Series","2022-03-30","Phase 4",2025,2025,"(Apr-May) 2025"
"Black Panther: Wakanda Forever","Movie","2022-11-11","Phase 4",2025,2025,"(May) 2025"
"She-Hulk (Season 1)","Series","2022-08-18","Phase 4",2025,2025,"(Mar-Aug) 2025"
"Captain America: Brave New World","Movie","2025-02-14","Phase 5",2025,2025,"early 2025"
"The Fantastic Four: First Steps","Movie","2025-07-25","Phase 6",2025,2025,"early-to-mid 2025"
"Thunderbolts","Movie","2025-05-02","Phase 5",2025,2025,"summer 2025"
"Ms. Marvel (Season 1)","Series","2022-06-08","Phase 4",2025,2026,"(Fall) 2025/(2026)"
"Ironheart","Series","2025-06-24","Phase 5",2025,2025,"mid-2025; keeps teen heroes together"
"Thor: Love and Thunder","Movie","2022-07-08","Phase 4",2025,2026,"(late) 2025/26"
"Guardians of the Galaxy Holiday Special","Movie","2022-11-25","Phase 4",2025,2025,"(Dec) 2025"
"Ant-Man and the Wasp: Quantumania","Movie","2023-02-17","Phase 5",2025,2026,"(Dec) 2025 - (July) 2026"
"Guardians of the Galaxy: Vol. 3","Movie","2023-05-05","Phase 5",2026,2026,"(early) 2026, after Quantumania"
"Secret Invasion","Series","2023-06-21","Phase 5",2026,2026,"after Vol. 3"
"The Marvels","Movie","2023-11-10","Phase 5",2025,2026,"(late) 2025/2026/after Secret Invasion"
